gauge,hy_year,q,q_ml,gap_days,p,pet
235209,1971,1227.49773419764,30950.011,0,1952.2479980091,884
235209,1972,439.63844919397,11085.002,0,1254.93699692078,937.6
235209,1973,940.275066375389,23708.006,0,1503.68700546965,925.2
235209,1974,1296.38833303455,32687.012,0,1638.1420024994,902.7
235209,1975,1040.69588659694,26240.007,0,1625.43100054011,905.4
235209,1976,1075.59726372712,27120.007,0,1465.45000299454,886.1
235209,1977,760.5328948337,19176.004,0,1370.4660010086,935.7
235209,1978,1932.06940399492,48715.014,0,1879.6689957305,885.3
235209,1979,892.682319040358,22508.007,0,1469.85199993856,912.2
235209,1980,910.172668261273,22949.007,0,1577.78399763845,975.4
235209,1981,578.054257021726,14575.005,0,1313.50600104712,965.4
235209,1982,217.102469672648,5474.001,0,989.397001200095,978.1
235209,1983,1096.65711163336,27651.008,0,1532.52399997748,908.8
235209,1984,836.562411719966,21093.005,0,1429.15699986242,912.4
235209,1985,996.236370733119,25119.009,0,1616.43500014827,912.1
235209,1986,944.955142745266,23826.009,0,1693.81999615669,917
235209,1987,607.046315415233,15306.008,0,1340.90299591199,932.1
235209,1988,660.27075689612,16648.004,0,1387.48199824013,952.4
235209,1989,960.343556528517,24214.011,0,1753.83099593177,932.3
235209,1990,785.241642058251,19799.008,0,1600.96300438687,943.7
235209,1991,1017.26583994461,25649.2440344828,2,1733.57799927481,911.4
235209,1992,1008.61259736676,25431.062,0,1842.59200555213,861.7
235209,1993,781.215014653825,19697.481,0,1501.72699860357,930.4
235209,1994,693.410407694333,17483.584,0,1389.10199791223,927.9
235209,1995,1435.66779130366,36198.791,0,1835.64799917161,891.5
235209,1996,1024.57093477428,25833.434,0,1654.15199986808,921.7
235209,1997,449.085022502776,11323.187,0,1187.62700118944,958.3
235209,1998,567.083326406104,14298.385,0,1298.16099855706,970.5
235209,1999,368.172723634688,9283.072,0,1188.57000286505,958.9
235209,2000,616.944782236564,15555.587,0,1444.58300117969,1016.3
235209,2001,977.08003600342,24636.003,0,1796.80200087003,939.1
235209,2002,529.06838949002,13339.88,0,1389.82900268547,970.6
235209,2003,688.896192187137,17369.763,0,1534.39699536458,1016.7
235209,2004,902.086971035953,22745.135,0,1785.16100154646,983.8
235209,2005,406.523863930241,10250.054,0,1159.04799801029,1019
235209,2006,461.295427934389,11631.059,0,1232.17200062841,1052.1
235209,2007,814.358591856966,20533.16,0,1526.15899705395,1038.5
235209,2008,462.725313559019,11667.112,0,1271.79200036213,1029.3
235209,2009,593.192927655217,14956.71,0,1646.59800285764,1004.4
235209,2010,988.391374028029,24921.206,0,1884.19700237416,949.5
235209,2011,761.731717477466,19206.231,0,1568.35199712343,985.6
235209,2012,1121.2647638462,28271.463,0,1685.66100613035,987.2
235209,2013,833.07397941515,21005.048,0,1814.67500116281,978.7
235209,2014,481.117308129567,12130.846,0,1455.39599869497,977.4
235209,2015,466.745396955233,11768.474,0,1303.8900015571,940.6
235209,2016,719.636254325683,18144.84,0,1790.14799670018,899.9
235210,1965,433.832309229849,22450.5179642857,3,1245.96179325306,990.7
235210,1966,402.155436494164,20811.262,0,1297.30471806889,950.7
235210,1967,109.51381158395,5667.263,0,770.939622257818,1040.7
235210,1968,657.080183476989,34003.439,0,1725.39811261395,943.7
235210,1969,453.238930220427,23454.797,0,1218.98537671144,938.2
235210,1970,851.621697266046,44070.826,0,1781.01084779224,929.2
235210,1971,821.490023509918,42511.533,0,1698.26698117615,956.4
235210,1972,292.096013656585,15115.764,0,1118.45424454382,991.5
235210,1973,526.331900752129,27237.307,0,1354.59575234565,982
235210,1974,713.117406124455,36903.326,0,1446.26320781471,966.7
235210,1975,679.462882728067,35161.728,0,1481.86509519833,976.4
235210,1976,418.533416745684,21658.811,0,1274.23584935853,957.2
235210,1977,435.903854881924,22557.719,0,1231.50235866727,996.3
235210,1978,650.846050742595,33680.827,0,1595.816509302,953.8
235210,1979,463.200920202297,23970.323,0,1302.16368068941,980.5
235210,1980,546.470202458885,28279.45,0,1399.31085007276,1040.1
235210,1981,314.954487466742,16298.674,0,1175.74952801844,1030.2
235210,1982,122.109692307528,6319.091,0,892.347169672684,1028.7
235210,1983,454.224779319997,23505.814,0,1343.48254484402,972.4
235210,1984,458.744492701746,23739.706,0,1247.856131627,980.9
235210,1985,488.751140610133,25292.529,0,1391.82547324119,971.3
235210,1986,596.307128578973,30858.476,0,1472.21037740218,982.3
235210,1987,361.859161316665,18725.958,0,1197.83820596334,983
235210,1988,330.103504215224,17082.625,0,1229.84434299667,1001.9
235210,1989,452.108441480927,23396.295,0,1527.72736085171,985.3
235210,1990,496.002871666329,25667.801,0,1422.63160879186,998.2
235210,1991,599.885321963891,31043.645,0,1494.33254930999,960.5
235210,1992,628.549091783082,32526.975,0,1636.41603934097,927.6
235210,1993,465.761708504745,24102.842,0,1327.83915077058,972.8
235210,1994,433.779787469578,22447.8,0,1210.19056773323,983.2
235210,1995,737.981047186038,38190.002,0,1585.33962509244,944
235210,1996,603.362702389354,31223.597,0,1455.45282595148,984
235210,1997,217.10723001138,11235.147,0,1026.50565914377,1020.2
235210,1998,268.725030490355,13906.332,0,1119.51792673018,1030.5
235210,1999,153.07393772516,7921.469,0,1035.30282873977,1024
235210,2000,328.944029575938,17022.623,0,1225.19717076958,1080.2
235210,2001,407.867271226772,21106.8454444444,7,1546.69811940647,1014.2
235210,2002,347.840257871268,18000.4895714286,2,1182.78962199306,1040.5
235210,2003,377.827202361223,19552.2929333333,1,1321.66415028172,1087.5
235210,2004,537.720170918844,27826.642,0,1516.43868109615,1050.4
235210,2005,265.284655396951,13728.295,0,1009.7731168701,1091.3
235210,2006,172.464673752515,8924.926,0,1031.27122869599,1112.2
235210,2007,300.13206451311,15531.624,0,1260.69622708994,1109.3
235210,2008,202.368499012396,10472.428,0,1057.08396452535,1088.4
235210,2009,330.35848351367,17095.82,7,1381.90707629859,1058.6
235210,2010,,,,1614.56556594924,1014.9
235210,2011,363.869642649719,18829.999,0,1303.13537596732,1048.3
235210,2012,466.073171659907,24118.96,0,1374.97500236951,1044.2
235210,2013,553.347165154788,28635.328,0,1485.0188691207,1031.5
235210,2014,320.956725273279,16609.2856,5,1242.08490718434,1025.1
235210,2015,241.127845163603,12478.197,0,1061.00094396832,980.1
235210,2016,503.579708574519,26059.897,0,1521.5448130346,931.1
235211,1965,98.8802064285101,26639.247,0,899.517318100875,1014.3
235211,1966,179.969545817235,48485.469,0,987.581704971647,967.9
235211,1967,23.5818995378549,6353.183,0,555.40568416485,1054.5
235211,1968,244.365456161799,65834.326,0,1220.37318036286,953.7
235211,1969,116.202889924014,31306.139,0,848.820871068995,960.5
235211,1970,224.945194727466,60602.327,0,1179.76927256621,948.9
235211,1971,291.220383195535,78457.479,0,1214.4006213465,977.1
235211,1972,74.334386929734,20026.375,0,821.855504449854,1022.2
235211,1973,170.902056246032,46042.603,0,984.082948601776,1016.8
235211,1974,222.494666832175,59942.132,0,1002.42948497987,985.2
235211,1975,233.152294543301,62813.396,0,1056.94911184272,997.3
235211,1976,96.1371125357374,25900.232,0,889.842895746503,981.1
235211,1977,157.736768238786,42495.752,0,889.694049941842,1007.6
235211,1978,164.690158540853,44369.06,0,1035.0651877864,974.7
235211,1979,157.414826863177,42409.018,0,898.487300568215,998.8
235211,1980,214.984514008867,57918.827,0,996.090319455564,1059.4
235211,1981,113.700745398921,30632.038,0,814.882860042161,1048.2
235211,1982,21.9391908292638,5910.622,0,636.943960356472,1037.2
235211,1983,130.380841569915,35125.811,0,954.507993889552,984.7
235211,1984,146.591154400321,39493.02,0,891.778597096157,993.8
235211,1985,92.9972505997176,25054.324,0,950.262522197075,987.5
235211,1986,201.851207080462,54380.592,0,1074.90905864295,997.6
235211,1987,99.1883212583108,26722.256,0,833.842450905142,998.3
